COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
329,7303010170,PILLAR ROCK RED SALM,14.75O,12,500701
329,7303010186,PILLAR ROCK RED SALM,7.75 O,24,500891
329,7303010191,PILLAR ROCK RED SALM,3 CT,16,500751
329,7303010300,PILLAR ROCK PINK SAL,6.5 OZ,24,505101
329,7303010314,PILLAR ROCK PINK SAL,15.5 O,24,500851
329,7303010319,PILLAR ROCK PINK SAL,7.5 OZ,24,500771
329,7335000000,~PORT CLYDE SARDINES,3.75 O,24,506421
329,7335000001,~PORT CLYDE SARDINES,3.75 O,24,506441
329,7335000002,PORT CLYDE SARDINES/,3.75 O,24,506401
329,7402700101,~POLAR FANCY CRB MEA,6 OZ,12,500051
329,7402700102,~POLAR WHITE CRAB ME,6 OZ,12,500031
329,7402700108,~POLAR TINY IMPORTED,4.25 O,12,508041
329,7402700112,~POLAR WHITE CRAB ME,6 OZ,12,500031
329,7402700120,~POLAR WHOLE BABY CL,10 OZ,12,508061
329,7402700130,~POLAR JUMBO CRABMEA,6 OZ,12,500071
329,7402700160,POLAR SARDINES IN LE,4.5OZ,24,508021
329,7402700165,POLAR MINCED CLAMS,6.5 OZ,12,508071
329,7402700169,~POLAR SARDINES IN O,4.5 OZ,24,508001
329,7402700170,POLAR SARDINES IN TO,4.5OZ,24,508041
329,7402700176,POLAR SMOKED OYSTERS,3.75 O,24,508051
329,7402700177,POLAR WHOLE OYSTERS,8 OZ,12,510250
329,7402700178,~POLAR IMPORTED BROK,4.25 O,12,508031
329,7402700189,POLAR SMOKED MUSSELS,3.75 O,24,508011
329,7402700198,POLAR MACKEREL,15 OZ,24,508021
329,7402742106,POLAR DOMSTC DEVEND,4.25 O,12,508081
329,7546205007,DELL'ALPE FLAT ANCHO,2 OZ,25,510201
329,7546205200,DELL'ALPE BABY CLAMS,10 OZ,12,512540
329,7760015227,3-DIAMOND SOLID WHIT,6 OZ,48,504501
329,7889720001,JONAH FANCY SNOW CRA,6 OZ,12,500040
329,7910000134,~STAR K CNK LITE TUN,6.12 O,24,503551
329,7910000141,STAR K SOLID WHT TUN,6 OZ,24,503651
329,7910000147,STARKIST SLD WHITE T,3.5 OZ,24,503101
329,7910000197,STAR K PRIME CATCH W,6.12 O,24,502811
329,7910000198,STAR K PRIME CATCH O,6.12 O,24,502821
329,7910000244,STARKIST CK LT TUNA,3.25OZ,24,503311
329,7910000245,STAR K CH LT TUNA WA,6 OZ,48,503301
329,7910000280,STAR KIST CH LT TUNA,6 OZ,48,502801
329,7910000314,STAR KIST CHUNK LIGH,3.3 OZ,24,503051
329,7910000325,STAR KIST CHUNK LIGH,9.25 O,24,503321
329,7910000334,STAR KIST CHUNK TUNA,12.5 O,24,503331
329,7910000487,EATWELL MACKEREL,15 OZ,24,500801
329,7910005498,STAR K DIET TUNA,6.5 OZ,12,50334
